Source,Target,Weight,Distance,Type
49,50,0.5,10,Undirected
49,52,0.44999999999999996,11,Undirected
49,53,0.050000000000000044,19,Undirected
49,59,0.5,10,Undirected
50,87,0.65,7,Undirected
50,68,0.6,8,Undirected
50,79,0.6,8,Undirected
50,53,0.050000000000000044,19,Undirected
50,62,0.55,9,Undirected
50,71,0.5,10,Undirected
50,84,0.5,10,Undirected
51,56,0.95,1,Undirected
51,74,0.75,5,Undirected
51,89,0.75,5,Undirected
51,59,0.65,7,Undirected
51,69,0.65,7,Undirected
51,75,0.65,7,Undirected
51,55,0.6,8,Undirected
51,58,0.6,8,Undirected
51,61,0.6,8,Undirected
51,64,0.6,8,Undirected
51,66,0.6,8,Undirected
51,54,0.5,10,Undirected
51,60,0.5,10,Undirected
51,70,0.6,8,Undirected
51,72,0.6,8,Undirected
51,77,0.19999999999999996,16,Undirected
51,82,0.35,13,Undirected
51,86,0.55,9,Undirected
52,86,0.65,7,Undirected
52,69,0.55,9,Undirected
52,74,0.55,9,Undirected
52,58,0.5,10,Undirected
52,61,0.5,10,Undirected
52,66,0.5,10,Undirected
52,76,0.5,10,Undirected
52,56,0.44999999999999996,11,Undirected
52,65,0.44999999999999996,11,Undirected
52,73,0.44999999999999996,11,Undirected
53,79,0.25,15,Undirected
53,57,0.09999999999999998,18,Undirected
53,61,0.09999999999999998,18,Undirected
53,66,0.09999999999999998,18,Undirected
53,71,0.050000000000000044,19,Undirected
53,84,0.050000000000000044,19,Undirected
53,85,0.050000000000000044,19,Undirected
54,69,0.65,7,Undirected
54,56,0.55,9,Undirected
54,65,0.55,9,Undirected
54,55,0.5,10,Undirected
54,73,0.44999999999999996,11,Undirected
54,74,0.44999999999999996,11,Undirected
54,75,0.44999999999999996,11,Undirected
54,85,0.44999999999999996,11,Undirected
54,77,0.4,12,Undirected
54,78,0.35,13,Undirected
55,75,0.75,5,Undirected
55,64,0.6,8,Undirected
55,83,0.6,8,Undirected
55,87,0.6,8,Undirected
55,56,0.55,9,Undirected
55,59,0.55,9,Undirected
55,65,0.55,9,Undirected
55,58,0.5,10,Undirected
55,74,0.55,9,Undirected
55,80,0.44999999999999996,11,Undirected
55,82,0.35,13,Undirected
56,89,0.8,4,Undirected
56,59,0.7,6,Undirected
56,69,0.7,6,Undirected
56,74,0.7,6,Undirected
56,75,0.7,6,Undirected
56,61,0.65,7,Undirected
56,64,0.65,7,Undirected
56,70,0.65,7,Undirected
56,72,0.65,7,Undirected
